sitetracker__Job_Number__c,Name,sitetracker__Job_Status__c,sitetracker__Job_Type__c,sitetracker__Category__c,Site_Name__c,sitetracker__Project__r.Name,sitetracker__Vendor__r.Name,sitetracker__Scheduled_Start__c,sitetracker__Actual_End__c,sitetracker__st_Job_Completion_Date__c
JOB-04427,Directional bore - RVT-036 Two Rivers,Scheduled,Construction,Wireline,RVT-036 Two Rivers,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,,
JOB-04428,Underground fiber placement - RVT-036 Two Rivers,Scheduled,Construction,Wireline,RVT-036 Two Rivers,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,,
JOB-04429,Pole make-ready - RVT-036 Two Rivers,In Progress,Construction,Wireline,RVT-036 Two Rivers,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,,
JOB-04430,Handhole set - RVT-036 Two Rivers,Unassigned,Construction,Wireline,RVT-036 Two Rivers,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,,
JOB-04431,Surface restoration - RVT-036 Two Rivers,In Progress,Construction,Wireline,RVT-036 Two Rivers,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,,
JOB-04432,Splice case install - RVT-039 Alder St,Scheduled,Construction,Wireline,RVT-039 Alder St,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,,
JOB-04433,Aerial strand placement - RVT-039 Alder St,In Progress,Construction,Wireline,RVT-039 Alder St,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-24,2026-03-24
JOB-04434,Fusion splice - RVT-039 Alder St,In Progress,Construction,Wireline,RVT-039 Alder St,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-25,2026-03-25
JOB-04435,Underground fiber placement - RVT-042 Kessler,Completed,Construction,Wireline,RVT-042 Kessler,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-25,2026-03-25
JOB-04436,Directional bore - RVT-042 Kessler,Completed,Construction,Wireline,RVT-042 Kessler,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-26,2026-03-26
JOB-04437,Pole make-ready - RVT-042 Kessler,Completed,Construction,Wireline,RVT-042 Kessler,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-26,2026-03-26
JOB-04438,Pedestal set - RVT-042 Kessler,Cancelled,Construction,Wireline,RVT-042 Kessler,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,,
JOB-04439,Fusion splice - RVT-018 Maple & 4th,Completed,Construction,Wireline,RVT-018 Maple & 4th,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-27,2026-03-27
JOB-04440,Surface restoration - RVT-024 Halsted Corr,Completed,Construction,Wireline,RVT-024 Halsted Corr,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-27,2026-03-27
JOB-04441,Aerial fiber placement - RVT-027 Bell Rd,Completed,Construction,Wireline,RVT-027 Bell Rd,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-30,2026-03-30
JOB-04442,Splice case install - RVT-030 Dunbar Ln,Completed,Construction,Wireline,RVT-030 Dunbar Ln,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-30,2026-03-30
JOB-04443,Handhole set - RVT-033 Cypress,Completed,Construction,Wireline,RVT-033 Cypress,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-31,2026-03-31
